geometry_id,R,minor_radius,theta,beta,x,s6,s6_fit_02,nested_small,nested_spread,fit_rms_024,fit_rms_02,fit_rms_nested,normalized_rhs,prediction_fit21,residual_fit21,prediction_all30,residual_all30,role
4,3.000000000000000000000000000000000000000000000000000000000000000000000,0.7000000000000000000000000000000000000000000000000000000000000311150764,0.7000000000000000000000000000000000000000000000000000000000000311150764,1.400000000000000000000000000000000000000000000000000000000000062230153,0.7999999999999999999999999999999999999999999999999999999999999688849236,-0.00001563575461823205719168494976026230950800458234460052061246807589337011,-0.00001563575460644604375819942935578836872487646082285314758875686992286315,-0.00001563575461822991301153939074659843062351190177206041987541275503292871,0.000000000000000002144180145559013663878884492680572540100737055320860441397714480314169,0.0000000000000000005599378533570057008444448110402269476615605791360353604033701503095474,0.000000000000003874735430816728324515390904922932936329419303899346057849425252892470,0.0000000000000000001347592236493470718344809911515489141252796269058029923434191273611253,-0.0002899127214854395209543108202672690324079301806326523245267373936280783,-0.0002899127214854395209543108202672690324079301806326523245267375835394332,-1.899113549151959749494648453912391430844193166723988993255955998165802e-64,-0.0002899127214853939901275079131067643455058816010708493958705438783303598,0.00000000000000004553082680290716050468690204857956180292865619351529771850215043611356,FIT
4,3.000000000000000000000000000000000000000000000000000000000000000000000,0.7000000000000000000000000000000000000000000000000000000000000311150764,0.7000000000000000000000000000000000000000000000000000000000000311150764,1.400000000000000000000000000000000000000000000000000000000000062230153,1.200000000000000000000000000000000000000000000000000000000000031115076,-0.00001730495828121798288590184561136191979551521573762799012365963610746934,-0.00001730495851450826258185602446107661992115368560837096718042709378675046,-0.00001730495828120872176561507072098672351947331280105149697124195144679359,0.000000000000000009261120286774890375196276041902936576493152417684660675743217051801054,0.000000000000000002418465717160783444115827410901284709915869905738563421805346947755745,0.00000000000007669583175985044851050799298503010539773518702547399260625970626259305,0.0000000000000000005819909927865038907011893572576553330356686180672387107471422472697548,0.00002182735957659527341702433216566295332879838363006382689979172978660276,0.00002182735957659527341702433216566295332879838363006382689979175589941406,2.611281130083944655555141624129538217410765604245484865726939497477977e-65,0.00002182735957674931681596630690694353502012873374954950602019696567763543,0.0000000000000001540433989419747412805816913303501194856791204052358910326715328252108,FIT
5,3.000000000000000000000000000000000000000000000000000000000000000000000,0.7000000000000000000000000000000000000000000000000000000000000311150764,2.000000000000000000000000000000000000000000000000000000000000000000000,1.049999999999999999999999999999999999999999999999999999999999968884924,0.3999999999999999999999999999999999999999999999999999999999999844424618,-0.00004030170640283223704648032055894118435412846785908947382484743371869505,-0.00004030170617616706009907560548529166367645477845048744724781139186583041,-0.00004030170640284060149543285018246201881178550303433597199661204114214267,0.000000000000000008364448952529623520834457657035175246498171764607423447619574074232083,0.000000000000000002184306035128303793821274709393501364496465076251830327496840304964551,0.00000000000007451778230304855275827264044864097448422352288047066607967429239091551,0.0000000000000000005256355019776091040590220362581548193744595466642866188466740155061127,-0.005081435530170438776697518939626936308198983844902761795914995268936975,-0.005081435530170438776697518939626936308198983844902761795914995268936975,0.0,-0.005081435530170445189169224156072906583842136854601762926751491391126610,-0.000000000000000006412471705216445970275643153009699001130836496122189634788972066581800,FIT
5,3.000000000000000000000000000000000000000000000000000000000000000000000,0.7000000000000000000000000000000000000000000000000000000000000311150764,2.000000000000000000000000000000000000000000000000000000000000000000000,1.049999999999999999999999999999999999999999999999999999999999968884924,0.7999999999999999999999999999999999999999999999999999999999999688849236,-0.0002446081693447580746018471350805488543814180420656284277022941888635779,-0.0002446081651233182792493185884679684687733600797473765549550329015049194,-0.0002446081693451090846067202898038945543250441970190948061899441006050236,0.0000000000000003510100048731547233456999436261549534663784876499117414457290031756902,0.00000000000000009166437839974893077276848666445112236790171087571679987845394721373491,0.000000000001387828233974848398354823052320022021868782599936066921920121197406433,0.00000000000000002206324755474061558662313777554879678950597253069069603676010815851062,-0.004133106661038292880287049380445469786895898895131790362758872145013211,-0.004133106661038292880287049380445469786895898895131790362758872145013211,0.0,-0.004133106661038399760389629089870068109121942913381863841132926608208619,-0.0000000000000001068801025797094245983222260440182500734783740544631954075800355019359,FIT
5,3.000000000000000000000000000000000000000000000000000000000000000000000,0.7000000000000000000000000000000000000000000000000000000000000311150764,2.000000000000000000000000000000000000000000000000000000000000000000000,1.049999999999999999999999999999999999999999999999999999999999968884924,1.200000000000000000000000000000000000000000000000000000000000031115076,-0.0005149251360499353146576603623181572475647367976073468469836620191254960,-0.0005149251183637148181701671619881983438216378947199208055818628724674814,-0.0005149251360513086549742509647999384102148800599722164258865114053970831,0.000000000000001373340316590602481781162650143262364869578902849386271587119336355593,0.0000000000000003586403460121356514784523925414050537970054364047159808894506001183925,0.000000000005814470261427192386674200023426320632635726641172398802876713803757487,0.00000000000000008632279206463223508823572958268185783178301855654415715271908775815672,-0.002902622935423290023535167804698451026352218654769342522654229009124147,-0.002902622935423290023535167804698451026352218654769342522654229009124147,0.0,-0.002902622935423474425930856085901903537534300173695534028691730853353599,-0.0000000000000001844023956882812034525111820815189261915060375018442294519034510707786,FIT
6,3.000000000000000000000000000000000000000000000000000000000000000000000,0.7000000000000000000000000000000000000000000000000000000000000311150764,0.3000000000000000000000000000000000000000000000000000000000000077787691,0.0,0.3999999999999999999999999999999999999999999999999999999999999844424618,0.00003940215383536120105496471305828981939477020226774362837869266658204535,0.00003940215355308514147624108658461493449508263678208080390012569188636281,0.00003940215383533867953916309623522110615373710694370303262504962326844080,0.00000000000000002252151580161682306871324103309532404059575364304331360454650958412894,0.000000000000000005881344783155176482756422939661272035443942231187344904659094106994924,0.00000000000009280025398492167183974066050520243755930781548083968299442575681861529,0.000000000000000001415482419990470360975827778051381503168371835932337898723039146173428,0.004741589856453016932193792753790090769058801038020110036036678819351174,0.004741589856453016932193792753790090769058801038020110036036678211634838,-6.077163357286271198382875052519652578701418133516764778419059194130565e-64,0.004741589856452870589381623154730325230718755437319567862923288939809434,-0.0000000000000001463428121695990597655383400456007005421731133898795417395458385596529,FIT
6,3.000000000000000000000000000000000000000000000000000000000000000000000,0.7000000000000000000000000000000000000000000000000000000000000311150764,0.3000000000000000000000000000000000000000000000000000000000000077787691,0.0,0.7999999999999999999999999999999999999999999999999999999999999688849236,0.0002005111796353585923135602938164563286236317184334839543994828070423066,0.0002005111814329779064137001585541994408783250618760842893315187796545582,0.0002005111796350417006150109709183100458647876788369464394646145948619941,0.0000000000000003168916985493228981462827588440395965375149348682121803124146169154353,0.00000000000000008275372366240297191742501395140239884588057761814925303454766682402500,0.0000000000005909800868912607717214652888561696281242665158031975885409236832364199,0.00000000000000001991449222090615484345848782916289890727629341358792506322945549970676,0.003351542842603659596726448753521342172321147397892465545215184316582111,0.003351542842603659596726448753521342172321147397892465545215184012723943,-3.038581678643135599191437526259826289350709066758382389209529597065283e-64,0.003351542842603884572566129759477077425935821413817697466611867577778987,0.0000000000000002249758396810059557352536146740159252319213966832611968757025177246500,FIT
6,3.000000000000000000000000000000000000000000000000000000000000000000000,0.7000000000000000000000000000000000000000000000000000000000000311150764,0.3000000000000000000000000000000000000000000000000000000000000077787691,0.0,1.200000000000000000000000000000000000000000000000000000000000031115076,0.0002531679247051396739366398949962070745079805943970565205163248429423865,0.0002531679326004336984304950393820316914027113807234721661271288724987972,0.0002531679247048737211646069581569399374725047472519233834905798795099661,0.0000000000000002659527720329368392671370354758471451331370257449634324203210707158768,0.00000000000000006944976056346016994272866266427107870550403959368504671877715562833812,0.000000000002595633829673582222067265543223856601491360585454426061390699613442468,0.00000000000000001670499056249346003305925278045788186231784809970139357046876234981764,0.001612032428708450837399701200006410017838833929526198338132416766242773,0.001612032428708450837399701200006410017838833929526198338132416462384605,-3.038581678643135599191437526259826289350709066758382389209529597065283e-64,0.001612032428709522111085365998848688358841227700196999475229059299338888,0.000000000000001071273685664798842278341002393770670801137096642533096114990376664603,FIT
7,3.000000000000000000000000000000000000000000000000000000000000000000000,0.7000000000000000000000000000000000000000000000000000000000000311150764,2.500000000000000000000000000000000000000000000000000000000000000000000,1.400000000000000000000000000000000000000000000000000000000000062230153,0.3999999999999999999999999999999999999999999999999999999999999844424618,0.00002291943880061595907648888296948240149304150671847560223397181720768786,0.00002291943894473423998817776571476772058873723944655942327195930263241916,0.00002291943880060102633077098033283812860183101425868572813788880435088164,0.00000000000000001493274571790263664427289121049245978987409608301285680622028739391187,0.000000000000000003899574825072600811155898743632364637859730759382215142524346372485597,0.00000000000004737990572375993343413535509244895377327224457558375499720805354784755,0.0000000000000000009384622608801193175974713831810062829383671426974358427134244290379327,0.003491385878586045312260907102778033671981949852313527200991659992464813,0.003491385878586045312260907102778033671981949852313527200991659384748477,-6.077163357286271198382875052519652578701418133516764778419059194130565e-64,0.003491385878586041566334099239079546247493506712251211783188478950662162,-0.000000000000000003745926807863698487424488443140062315417803181041802650886533850856298,FIT
7,3.000000000000000000000000000000000000000000000000000000000000000000000,0.7000000000000000000000000000000000000000000000000000000000000311150764,2.500000000000000000000000000000000000000000000000000000000000000000000,1.400000000000000000000000000000000000000000000000000000000000062230153,0.7999999999999999999999999999999999999999999999999999999999999688849236,0.0001696594876220334564726841787251799585814607298338985889282983944876741,0.0001696594874498842128964825423830948399079073775768801038789211547779611,0.0001696594876219679518781877306284150875370896057057891146649214985188049,0.00000000000000006550459449644809676487104437112412810947426337689596886923099138307801,0.00000000000000001710623386268371962121097620560055494421943189027168993418235063225887,0.00000000000005659528565295298669573977722344895327758391555212794082680267484031299,0.000000000000000004117689598548287140924118512693512231725033600856200434717335762188252,0.002960936734681743321594609946389370991740154635866854017537177763385037,0.002960936734681743321594609946389370991740154635866854017537177155668701,-6.077163357286271198382875052519652578701418133516764778419059194130565e-64,0.002960936734681746800880946181787410468859953651435420722353398742784500,0.000000000000000003479286336235398039477119799015568566704816220979399462955962249792702,FIT
