constant,fit21_value,all30_ls_value,fit_minus_all30,rational_candidate,rational_error
B[K_w^2],0.003365801094559111513833668190989597341235314637736378860968368963413753,0.003365801095878259958425817638443823238656964884398413527816232523361015,-0.000000000001319148444592149447454225897421650246662034666847863559947261450644173,153503/45606676,0.00000000000000006055383824997634049640697735643880953753624652341936375806574748973768
B[S_wwww],0.0007936507931067017842141593616307241150509476999300033512738700583209733,0.0007936507932842353984288100787038725484729233707497126448404398659473596,-0.0000000000001775336142146507170731484334219756708197092935665698076263862799984671,1/1260,0.0000000000005440918665794914320200695357427030937207902995197807044616889622155656
B[(tr S)_ww],0.0003968253972327872740886649425982517606651146145575480046497275527807630,0.0003968253971370612499768263252720932044623622632309654803405678731646331,0.00000000000009572602411183861732615855620275235132658252430915967961612992213674250,1/2520,0.0000000000004073904486918395457728549352682892177321511792529021713894318548400860
B[tr^2 S],-0.0001984126984890674445021659161772935343384838495657156684337961463179091,-0.0001984126984682257046697652682992125522858646396858324644962895105130989,-0.00000000000002084173983240064787808098205261920987988320393750663580481023012163013,-1/5040,0.00000000000007636903180375321776459512164007115115301725573538345562224352062085278
C[K DeltaK],0.008399470899298248592854693625688540030080135689808056773429943492727003,0.008399470899363667596210483478982022086230159916570870954022942099182582,-0.00000000000006541900335578985329348205615002422676281418059299860645557900025673649,127/15120,0.0000000000001726508780447772737823594408193352096628426974695278903446205868944050
C[K K_ww],-0.04206349206222887369017598778567513872607746480191292580315827724322502,-0.04206349206232417137606133936903941519364284245138744394093530867112832,0.00000000000009529768588535158336427646756537764947451813777703142790329312796939205,-53/1260,0.000000000001263189801887504277816924765986027261579137688905213184256078894316843
C[|grad K|^2],0.002347883597631493505352790489669184108010052238783732895284691321920826,0.002347883597742840603138358999378002129543988307693270380711976346428443,-0.0000000000001113470977855685097088180215339360689095374854272850245076163844887455,234738/99978551,0.00000000000007865439689241682412166081973995118480866578313980739212220213231374970
C[K_w^2],-0.03198516002352603978182908676545567896016153944211074742357272398383303,-0.03198516002433303989927178475276230093088722956708602159855171731930677,0.0000000000008070001174426979873066219707256901249752741749789933354737353574258661,-2863823/89535991,0.0000000000000001419968480487788418091862532358184880881888012965413337562259611948744
C[S_wwww],0.003174603174957244181627918966109630646295558468269314805402377289256571,0.003174603174847656913752021903925442254908529921470708903296443511082245,0.0000000000001095872678758970621841883913870285467986059021059337781743255367342663,1/315,0.0000000000003540695784533157915064560431209552936661402022277742381259216448995316
C[(tr S)_ww],-0.002380952381227089848305942109301536555380666271588958093187163403845696,-0.002380952381168543334843470909507954223628146196122381692324197244147007,-0.00000000000005854651346247119979358233175252007546657640086296615969868834546329597,-1/420,0.0000000000002747088959249897283491556029997138906365771408062111154977088689958138
C[tr^2 S],0.0001984126984619144470594018828564854737854212573048282837898853111435329,0.0001984126984486147850490993049814392611372200648614438855322298634441977,0.00000000000001329966201030257787504621264820119244338439825765544769933519598276151,1/5040,0.00000000000004921603436098918444378706108700855889212987109147262044786732489228750
